Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
Sarapuu tn 7,295000,3886.69,"Pirita linnaosa, Tallinn, Harju maakond",75.9,3,3/3,2004,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-sarapuu-tn/3838052?i=43
Narva mnt 5,599000,5249.78,"Kesklinna linnaosa, Tallinn, Harju maakond",114.1,4,8/8,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-narva-mnt/2381866?i=44
Ehitajate tee 37,113555,2490.24,"Mustamäe linnaosa, Tallinn, Harju maakond",45.6,2,5/5,1963,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-ehitajate-tee/3143404?i=45
P. Süda tn 18,189000,3566.04,"Kesklinna linnaosa, Tallinn, Harju maakond",53,2,2/5,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-p-suda-tn/6523109?i=46
Läänemere tee 21,89900,1929.18,"Lasnamäe linnaosa, Tallinn, Harju maakond",46.6,2,5/5,1988,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-laanemere-tee/7613718?i=47
Punane tn 15,90000,4109.59,"Lasnamäe linnaosa, Tallinn, Harju maakond",21.9,1,N/A,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/7928221?i=48
Pirita tee 28a,275000,5130.6,"Kesklinna linnaosa, Tallinn, Harju maakond",53.6,2,10/12,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-pirita-tee/2361719?i=49
Põllu tn 127,279000,2066.67,"Nõmme linnaosa, Tallinn, Harju maakond",135,5,2/4,1999,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-nomme-linnaosa-pollu-tn/9193873?i=0
Tina tn 21,234980,3055.66,"Kesklinna linnaosa, Tallinn, Harju maakond",76.9,2,4/6,2008,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tina-tn/2687476?i=1
Sõpruse pst 12,117000,3087.07,"Kristiine linnaosa, Tallinn, Harju maakond",37.9,2,2/2,1939,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-sopruse-pst/3400881?i=2
